id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
38463,Ролинская Тамара Михайловна,Светлогорской районной организацией общественного объединения «Белорусский союз женщин»,0,8,NULL,,,,,,,,,,,3417
38464,Романюк Евгения Фёдоровна,Светлогорской районной организацией Коммунистической партии Беларуси,0,7,5799,,,«Средняя школа № 6 г.Светлогорска»,Воспитатель группы продленного дня,https://sv6.schools.by/teacher/739351,,,,,,3417
38465,Савенко Олеся Александровна,гражданами путем подачи заявления,0,4000,5799,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0010%20%D0%A1%D0%B0%D0%B2%D0%B5%D0%BD%D0%BA%D0%BE%20%D0%9E%D0%BB%D0%B5%D1%81%D1%8F%20%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sv6.schools.by/administration/1039254#photo10008709,«Средняя школа № 6 г.Светлогорска»,Заместитель директора по учебной работе,https://sv6.schools.by/administration/1039254,,,,,,3417
38466,Некрашевич Василий Николаевич,трудовым коллективом дневной службы цеха нетканых материалов завода искусственного волокна открытого акционерного общества «СветлогорскХимволокно»,1,NULL,12974,,,,,,,,«СветлогорскХимволокно»,,,3418
38467,Петряков Андрей Казимирович,Светлогорской районной организацией Республиканской партии труда и справедливости,2,3,NULL,,,,,,,,,,,3418
38468,Светличная Наталия Николаевна,Светлогорской районной организацией общественного объединения «Белорусский республиканский союз молодежи»»,3,11,12974,,,«СветлогорскХимволокно»,,http://www.sohim.by/kontaktnaya-informatsiya/obrashcheniya-grazhdan/rabota-s-obrashcheniyami/,,,,,,3418
38469,Белая Анна Анатольевна,гражданам путём подачи заявления,0,4000,NULL,,,,,,,,,,,3418
38470,Борейко Елена Львовна,трудовым коллективом отдела организации труда и заработной платы открытого акционерного общества «СветлогорскХимволокно»,0,NULL,12974,,,,,,,,«СветлогорскХимволокно»,,,3418
38471,Захаренко Сергей Николаевич,трудовым коллективом участка композиционных материалов цеха углеродных волокнистых материалов завода искусственного волокна открытого акционерного общества «СветлогорскХимволокно»,0,NULL,12974,,,,,,,,«СветлогорскХимволокно»,,,3418
38472,Зелёная Елена Юрьевна,трудовым коллективом Представительства Белорусского республиканского унитарного страхового предприятия «Белгосстрах» по Светлогорскому району,0,NULL,10258,,,,,,,,«Белгосстрах»,,,3418
38473,Кондратенко Светлана Ивановна,Светлогорской районной организацией общественного объединения «Белорусский фонд мира»,0,15,NULL,,,,,,,,,,,3418
38474,Кулик Татьяна Алексеевна,Светлогорской районной организацией Белорусского Общества Красного Креста,0,5,NULL,,,,,,,,,,,3418
38475,Матвеенко Елена Сергеевна,Светлогорской районной организацией Коммунистической партии Беларуси,0,7,NULL,,,,,,,,,,,3418
38476,Раёв Александр Алексеевич,Светлогорской районной организацией Социал-демократической партией Народного Согласия,0,2,NULL,,,,,,,,,,,3418
38477,Стальная Ирина Вячеславовна,Светлогорской районной организацией Республиканского общественного объединения «Белая Русь»,0,4,NULL,,,,,,,,,,,3418
38478,Хорошун Алла Александровна,Светлогорской районной организацией общественного объединения «Белорусский союз женщин»,0,8,12974,,,,,,,,,,,3418
38479,Исаенко Наталья Николаевна,Светлогорской районной организацией Коммунистической партии Беларуси,1,7,5797,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0012%20%D0%98%D1%81%D0%B0%D0%B5%D0%BD%D0%BA%D0%BE%20%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D1%8F%20%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://sv3.schools.by/director/505539#photo8512556,«Средняя школа №3 г. Светлогорска»,Директор,https://sv3.schools.by/director/505539,,,,,,3419
38480,Лаптева Анжела Владимировна,Светлогорской районной организацией общественного объединения «Белорусский союз женщин»,2,8,5797,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0012%20%D0%9B%D0%B0%D0%BF%D1%82%D0%B5%D0%B2%D0%B0%20%D0%90%D0%BD%D0%B6%D0%B5%D0%BB%D0%B0%20%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sv3.schools.by/administration/595194#photo2154517,«Средняя школа №3 г. Светлогорска»,Заместитель директора по учебной работе,https://sv3.schools.by/administration/595194,,,,,,3419
38481,Кохно Алла Николаевна,Светлогорской районной организацией Белорусского общества Красного Креста,3,5,5797,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0012%20%D0%9A%D0%BE%D1%85%D0%BD%D0%BE%20%D0%90%D0%BB%D0%BB%D0%B0%20%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://sv3.schools.by/teacher/595203#photo2155289,«Средняя школа №3 г. Светлогорска»,Учитель,https://sv3.schools.by/teacher/595203,,,,,,3419
38482,Дайнеко Ольга Васильевна,Светлогорской районной организацией Республиканского общественного объединения «Белая Русь»,0,4,5797,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0012%20%D0%94%D0%B0%D0%B9%D0%BD%D0%B5%D0%BA%D0%BE%20%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0%20%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://sv3.schools.by/teacher/595180#photo2154406,«Средняя школа №3 г. Светлогорска»,Учитель английского языка,https://sv3.schools.by/teacher/595180,,,,,,3419
38483,Дмитрова Наталья Алексеевна,трудовым коллективом государственного учреждения образования «Средняя школа №3 г. Светлогорска»,0,NULL,5797,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0012%20%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2%D0%B0%20%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D1%8F%20%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://sv3.schools.by/teacher/2042892#photo9079756,«Средняя школа №3 г. Светлогорска»,Учитель,https://sv3.schools.by/teacher/2042892,,,,,,3419
