id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
40944,Пряшников Михаил Сергеевич,Гродненской городской организацией общественного объединения «Белорусский республиканский союз молодежи»,0,11,NULL,,,,,,,,,,,3633
40945,Севко Андрей Александрович,"Гродненской областной организацией Белорусского профессионального союза работников энергетики, газовой и топливной промышленности",0,20,11075,,,,,,,,,,,3633
40946,Карвацкий Эдуард Владимирович,Белорусский профессиональный союз работников агропромышленного комплекса,1,23,NULL,,,,,,,,,,,3634
40947,Гугельчук Василий Плександрович,Белорусский профессиональный союз работников государственных и других учреждений,2,21,NULL,,,,,,,,,,,3634
40948,Бесько Ольга Анатольевна,Белая Русь,3,4,NULL,,,,,,,,,,,3634
40949,Вергейчик Игорь Михайлович,Белая Русь,0,4,NULL,,,,,,,,,,,3634
40950,Герасимова Татьяна Петровна,Белорусское ОО ветеранов,0,1,NULL,,,,,,,,,,,3634
40951,Желудок Светлана Николаевна,ОО «Белорусский фонд мира»,0,15,NULL,,,,,,,,,,,3634
40952,Качанова Людмила Ивановна,ООО «Белорусский союз женщин»,0,8,NULL,,,,,,,,,,,3634
40953,Коваленя Инна Платоновна,РОО «Белорусское Общество Красного Креста»,0,5,NULL,,,,,,,,,,,3634
40954,Косуров Андрей Вячеславович,Белорусский профессиональный союз работников местной промышленности и коммунально-бытовых предприятий,0,18,NULL,,,,,,,,,,,3634
40955,Красовская Надежда Леонидовна,Белорусский профессиональный союз работников образования и науки,0,26,4557,,,,,,,,,,,3634
40956,Кумпель Оксана Павловна,"Белорусский профессиональный союз работников культуры, информации, спорта и туризма",0,22,NULL,,,,,,,,,,,3634
40957,Мартен Ольга Валерьевна,БРСМ,0,11,NULL,,,,,,,,,,,3634
40958,Орехова Ирина Иосифовна,Белорусский профессиональный союз работников здравоохранения,0,25,NULL,,,,,,,,,,,3634
40959,Рукша Геннадий Вацлавович,от граждан,0,4000,NULL,,,,,,,,,,,3634
40960,Шляхотко Наталья Вячеславовна,от граждан,0,4000,NULL,,,,,,,,,,,3634
40961,Шурба Татьяна Игнатьевна,от граждан,0,4000,NULL,,,,,,,,,,,3634
40962,Юрашевич Ольга Анатольевна,от граждан,0,4000,NULL,,,,,,,,,,,3634
40963,Почобут Наталья Максимовна,Белая Русь,1,4,NULL,https://members2020by.s3.eu-north-1.amazonaws.com/04-105-0002%20%D0%9F%D0%BE%D1%87%D0%BE%D0%B1%D1%83%D1%82%20%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D1%8F%20%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC%D0%BE%D0%B2%D0%BD%D0%B0.jpg,,,,,,,,,,3635
40964,Бут-Гусаим Василий Григорьевич,Белорусское ОО ветеранов,2,1,NULL,,,,,,,,,,,3635
40965,Сидоркевич Елена Ивановна,БРСМ,3,11,NULL,,,,,,,,,,,3635
40966,Гладкая Илона Юрьевна,РОО «Белорусское Общество Красного Креста»,0,5,NULL,,,,,,,,,,,3635
40967,Гончаревич Елена Николаевна,от граждан,0,4000,4557,,,,,,,,,,,3635
40968,Карвацкая Наталья Леонидовна,ОО «Белорусский фонд мира»,0,15,NULL,,,,,,,,,,,3635
